case,theta,scale,Fp,Fm,rho,plus_strain,minus_strain,plus_disp,minus_disp,zero_grad,zero_eigmin
C_3deg,3.0,1.0,1.5730224609375,0.6312744140625,0.4272328548644339,0.008644054741568213,0.008436399318455337,0.09952154990645903,0.10087553776691725,3.090041993485804e-07,0.6091425401633567
C_half_3deg,3.0,0.5,1.2448974609374996,0.5168212890625,0.4132760532150775,0.013986126453005626,0.015970096439042195,0.1750361301382411,0.19524091796326407,1.2128888488091874e-07,0.2767678658547206
C_100x_1p5,1.5,100.0,3.0697509765625015,1.2578857421874998,0.41867313550716484,3.768952835447201e-05,5.1878679612234585e-05,0.0005638418353691674,0.0006539775753128528,2.6864469006885206e-06,14.285523168717136
