theta,scale,E0,E1,gap,ground_rigid_branch,ground_grad,ground_eigmin
1.5,1.0,-0.5601061245382236,-0.25214099698221043,0.3079651275560132,0,1.0123668237780661e-06,0.7565758734920505
1.5,0.5,-0.5605100203676522,-0.2527785226868942,0.30773149768075797,0,1.271838598209467e-07,0.4194829111985372
3.0,1.0,-0.3302450017524253,-0.15931725878073988,0.17092774297168545,0,3.422322834089781e-07,0.6243154476417303
