T,seed,mean_u,mean_v,u_lo,u_hi,v_lo,v_hi,zero_d2,q95,zero_excluded
0.65,20260919,0.09501423760142748,-0.06515894416735771,0.01877890209201503,0.1713604952198926,-0.13871189461968852,0.008301030438956618,6.340743312783722,5.979402794614871,True
0.65,8675309,0.09501423760142748,-0.06515894416735771,0.018565273506993676,0.1714260592708767,-0.13859274962890444,0.008021090290837406,6.340319909038224,5.994759900964994,True
0.7,20260919,0.06951226813736108,-0.03986141787293427,-0.01060297020968616,0.15057329626424162,-0.11906260201172546,0.03914279956369754,2.893928591364842,5.993521140410439,False
0.7,8675309,0.06951226813736108,-0.03986141787293427,-0.01191862011165248,0.15015342956286262,-0.11974573583059384,0.03988447895555616,2.8770033923023024,5.993663275604775,False
