T,dt1,dt2,z_u,z_v
0.0001,0.02,0.04,0.03739118299705758,1.2720483517652943
0.0001,0.01,0.04,1.296581480423657,0.48799623263330666
0.0001,0.01,0.02,1.373782899322932,0.8220638094867405
0.001,0.02,0.04,1.0651941935963787,1.3288388503369915
0.001,0.01,0.04,1.337283401963781,1.523900956869266
0.001,0.01,0.02,0.3026185447822623,0.18888540050339464
0.005,0.02,0.04,1.0648169742715154,0.41795930959633165
0.005,0.01,0.04,0.7565293765200765,1.5510281698464563
0.005,0.01,0.02,0.2979145217273013,1.1273046112002783
