gamma,F0,tau,u,v,m,n,max_cycle_res,all_same,integer_pair
2.0,1.4,60.0,1.0000000000000004,-1.0000000000000002,1.0,-1.0,1.173007238693974e-14,1.0,"(1,-1)"
3.0,1.4,60.0,0.9999999999999998,-1.0000000000000004,1.0,-1.0,1.173007238693974e-14,1.0,"(1,-1)"
4.0,1.4,60.0,0.9999999999995757,-0.9999999999997857,1.0,-1.0,1.0793523378968922e-10,1.0,"(1,-1)"
5.0,1.4,60.0,1.0713531247444392e-16,-1.698617039638815e-16,0.0,0.0,3.580361673049448e-15,1.0,"(0,0)"
6.0,1.4,60.0,8.64182687962745e-17,-1.5063207710004583e-16,0.0,0.0,5.551115123125783e-16,1.0,"(0,0)"
8.0,1.4,60.0,7.531603855002293e-17,-1.5063207710004586e-16,0.0,0.0,6.106226635438361e-16,1.0,"(0,0)"
2.0,2.0,60.0,3.0000000000004663,-5.000000000000893,3.0,-5.0,5.315777132234806e-11,1.0,"(3,-5)"
3.0,2.0,60.0,0.9999999999999991,-2.9999999999999987,1.0,-3.0,2.8075255221200032e-14,1.0,"(1,-3)"
4.0,2.0,60.0,1.9999999999999996,-2.000000000000001,2.0,-2.0,1.506470781896449e-14,1.0,"(2,-2)"
5.0,2.0,60.0,1.0000000000000004,-1.0000000000000007,1.0,-1.0,1.960002141527425e-13,1.0,"(1,-1)"
6.0,2.0,60.0,0.9999999999999997,-1.0000000000000002,1.0,-1.0,4.6151104473205536e-15,1.0,"(1,-1)"
8.0,2.0,60.0,1.0,-1.0000000000000004,1.0,-1.0,5.824175385795272e-15,1.0,"(1,-1)"
2.0,2.6,60.0,2.0000000000011537,-11.999999999998675,2.0,-12.0,7.090498640768169e-10,1.0,"(2,-12)"
3.0,2.6,60.0,4.00000000000031,-6.000000000000149,4.0,-6.0,4.910527750449632e-10,1.0,"(4,-6)"
4.0,2.6,60.0,2.0000000000003295,-3.000000000000159,2.0,-3.0,4.192988220678557e-11,1.0,"(2,-3)"
5.0,2.6,60.0,2.000000000000008,-3.0000000000000044,2.0,-3.0,7.128587721732588e-13,1.0,"(2,-3)"
6.0,2.6,60.0,1.0000000000000009,-2.0000000000000013,1.0,-2.0,6.191939850155076e-14,1.0,"(1,-2)"
8.0,2.6,60.0,1.0000000000000002,-1.0000000000000004,1.0,-1.0,9.196293030155228e-14,1.0,"(1,-1)"
2.0,3.0,60.0,1.999999999999968,-16.000000000000043,2.0,-16.0,6.691064404178582e-12,1.0,"(2,-16)"
3.0,3.0,60.0,5.000000000000028,-6.999999999999997,5.0,-7.0,6.274784101989202e-13,1.0,"(5,-7)"
4.0,3.0,60.0,2.9999999999999973,-4.999999999999995,3.0,-5.0,9.467644506845433e-14,1.0,"(3,-5)"
5.0,3.0,60.0,1.9999999999999951,-3.000000000000004,2.0,-3.0,3.878920330629501e-13,1.0,"(2,-3)"
6.0,3.0,60.0,2.000000000000002,-3.0000000000000013,2.0,-3.0,6.181722997473774e-13,1.0,"(2,-3)"
8.0,3.0,60.0,2.0000000000000004,-2.000000000000001,2.0,-2.0,3.884384626494799e-13,1.0,"(2,-2)"
