T,N,mean_u,mean_v,norm
0.5,1000,0.08000593829995077,-0.15508626869666603,0.17450702249912473
0.55,1000,0.061753811064195266,-0.12365576883687611,0.13821824173238229
0.6,1000,0.051116615158720846,-0.10719739895336416,0.11876106553770681
0.65,1000,0.042226422504129266,-0.08689793815957843,0.09661429715048984
0.7,1000,0.036997653872049265,-0.0764475302089921,0.08492968425168389
