T,n,dt,burn_cycles,measure_cycles,mean_u,mean_v_canon,mean_dy,P_neg_y_canon,P_target_canon,mean_round_residual,mean_v_ci_lo,mean_v_ci_hi,P_neg_y_ci_lo,P_neg_y_ci_hi,P_target_ci_lo,P_target_ci_hi,mean_v_recalc,mean_v_lo,mean_v_hi,P_neg_y_recalc,P_neg_y_lo,P_neg_y_hi,P_target_recalc,P_target_lo,P_target_hi,mean_v_lo_absdiff,mean_v_hi_absdiff,P_neg_y_lo_absdiff,P_neg_y_hi_absdiff,P_target_lo_absdiff,P_target_hi_absdiff
0.1,1000,0.02,10,10,0.6678669720675767,-1.3536387214044334,-1.1722855202825258,0.8158000000000002,0.074,0.2597958644925778,-1.3820309681938678,-1.3241932635899152,0.8081975,0.8232025000000001,0.0688,0.0791024999999999,-1.3536387214044334,-1.3826159058250023,-1.3240926777597781,0.8158000000000002,0.8082,0.8233000000000001,0.07400000000000001,0.06870000000000001,0.07930000000000001,0.0005849376311344301,0.00010058583013705658,2.500000000016378e-06,9.750000000008363e-05,9.999999999998899e-05,0.00019750000000011425
0.16,1000,0.02,10,10,0.4408469895330148,-0.8754276955792593,-0.7581426235481087,0.6851,0.0532,0.2980458436536287,-0.910570516494876,-0.8400256342835817,0.6759,0.6944,0.0487,0.0578,-0.8754276955792593,-0.910980711882831,-0.8402730530467001,0.6851,0.6758000000000001,0.6943024999999999,0.053200000000000004,0.048799999999999996,0.057699999999999994,0.00041019538795505905,0.00024741876311840105,9.999999999987796e-05,9.750000000008363e-05,9.999999999999593e-05,0.00010000000000000286
0.24,1000,0.02,10,10,0.2919170043651714,-0.5415098491912941,-0.4689612857991409,0.5989,0.0369,0.3259886976233087,-0.5837481553022814,-0.4996368444395522,0.5892999999999999,0.6085,0.0332,0.0406,-0.5415098491912941,-0.5834011850531973,-0.49869395751046464,0.5989,0.5891,0.6085999999999999,0.0369,0.033299999999999996,0.040600000000000004,0.0003469702490841442,0.0009428869290875608,0.00019999999999997797,9.999999999987796e-05,9.999999999999593e-05,6.938893903907228e-18
0.32,1000,0.02,10,10,0.2150746640656875,-0.3467544845165184,-0.3002981924674827,0.5552,0.029,0.3413362826631884,-0.3967574676221828,-0.2963415683706712,0.5452,0.5651,0.0257,0.0323024999999999,-0.34675448451651847,-0.39689498136240386,-0.29662691247184675,0.5552,0.5452,0.5649,0.029000000000000005,0.025700000000000004,0.0324,0.00013751374022108465,0.0002853441011755331,0.0,0.000200000000000089,3.469446951953614e-18,9.750000000009751e-05
0.5,1000,0.02,10,10,0.1123919648528508,-0.144246769468013,-0.1249213667731368,0.5176,0.015,0.3566552471984184,-0.2082771875148217,-0.0788232079339696,0.5079,0.5274,0.0127,0.0174,-0.14424676946801301,-0.21081255775886193,-0.07762558580657906,0.5176,0.5077999999999999,0.5273024999999999,0.015,0.012700000000000001,0.017300000000000003,0.0025353702440402415,0.001197622127390538,0.00010000000000010001,9.750000000008363e-05,1.734723475976807e-18,9.999999999999593e-05
0.55,1000,0.02,10,10,0.0961414131147032,-0.1100215774951366,-0.0952814810752265,0.5099,0.0126,0.3600570714895112,-0.1760516191773861,-0.0421100074243722,0.5,0.5195,0.0104,0.0148,-0.1100215774951366,-0.17664459794794332,-0.042082678607307224,0.5099,0.5002000000000001,0.5197999999999999,0.012600000000000002,0.0105,0.0148,0.0005929787705572231,2.732881706497825e-05,0.000200000000000089,0.00029999999999996696,0.00010000000000000113,0.0
0.6,1000,0.02,10,10,0.0903892419156354,-0.0858949412025992,-0.0743872011380216,0.5059,0.0133,0.3606916643364398,-0.1550166654868601,-0.0156668064900986,0.4965,0.5151,0.0111,0.0156,-0.08589494120259923,-0.15695109864582382,-0.014827136389234632,0.5059,0.49629749999999995,0.5153,0.013300000000000001,0.011100000000000002,0.015600000000000001,0.0019344331589637165,0.0008396701008639672,0.00020250000000004986,0.00019999999999997797,1.734723475976807e-18,1.734723475976807e-18
0.65,1000,0.02,10,10,0.0950142376014274,-0.0651589441673577,-0.0564293009327036,0.5067,0.0116999999999999,0.3626924138393371,-0.1365141209785188,0.0075858812550733,0.4971,0.5161999999999999,0.0096,0.0139,-0.06515894416735771,-0.13933722069302917,0.007722183118890734,0.5067,0.4968,0.5164000000000001,0.011699999999999999,0.009699999999999999,0.013800000000000002,0.002823099714510363,0.0001363018638174335,0.00029999999999996696,0.00020000000000020002,9.99999999999994e-05,9.999999999999766e-05
0.7,1000,0.02,10,10,0.069512268137361,-0.0398614178729342,-0.0345210005088281,0.5012,0.0119,0.3636955190901964,-0.1175054966049318,0.0390168942697208,0.4916,0.511,0.0097,0.0141,-0.03986141787293427,-0.11833855528828369,0.039055693550981194,0.5012,0.4914,0.511,0.0119,0.0097,0.014100000000000001,0.0008330586833518866,3.8799281260396e-05,0.00019999999999997797,0.0,0.0,1.734723475976807e-18
