T,n,mean_v,mean_v_lo,mean_v_hi,P_neg_y,P_neg_y_lo,P_neg_y_hi,P_target,P_target_lo,P_target_hi
0.1,1000,-1.3536387214044334,-1.3826159058250023,-1.3240926777597781,0.8158000000000002,0.8082,0.8233000000000001,0.07400000000000001,0.06870000000000001,0.07930000000000001
0.16,1000,-0.8754276955792593,-0.910980711882831,-0.8402730530467001,0.6851,0.6758000000000001,0.6943024999999999,0.053200000000000004,0.048799999999999996,0.057699999999999994
0.24,1000,-0.5415098491912941,-0.5834011850531973,-0.49869395751046464,0.5989,0.5891,0.6085999999999999,0.0369,0.033299999999999996,0.040600000000000004
0.32,1000,-0.34675448451651847,-0.39689498136240386,-0.29662691247184675,0.5552,0.5452,0.5649,0.029000000000000005,0.025700000000000004,0.0324
0.5,1000,-0.14424676946801301,-0.21081255775886193,-0.07762558580657906,0.5176,0.5077999999999999,0.5273024999999999,0.015,0.012700000000000001,0.017300000000000003
0.55,1000,-0.1100215774951366,-0.17664459794794332,-0.042082678607307224,0.5099,0.5002000000000001,0.5197999999999999,0.012600000000000002,0.0105,0.0148
0.6,1000,-0.08589494120259923,-0.15695109864582382,-0.014827136389234632,0.5059,0.49629749999999995,0.5153,0.013300000000000001,0.011100000000000002,0.015600000000000001
0.65,1000,-0.06515894416735771,-0.13933722069302917,0.007722183118890734,0.5067,0.4968,0.5164000000000001,0.011699999999999999,0.009699999999999999,0.013800000000000002
0.7,1000,-0.03986141787293427,-0.11833855528828369,0.039055693550981194,0.5012,0.4914,0.511,0.0119,0.0097,0.014100000000000001
